AL,Alberta
BC,British Columbia
MT,Manitoba
NB,New Brunswick
NL,Newfoundland and Labrador
NS,Nova Scotia
NV,Nunavut
OT,Ontario
PE,Prince Edward Island
QB,Quebec
SW,Saskatchewan
